"AGE","CLITIME","INCOME","RESIDTIME","REGION_North","REGION_South","REGION_West","CABLETV_Yes","AUTODEBT_Yes","DEBTINC","CHURN"
31,21,5400,7.4,1,0,0,1,0,0.0285185185185185,"No"
37,18,5500,5.8,0,0,0,1,0,0.166727272727273,"No"
49,20,7280,5,1,0,0,1,0,0.0375,"No"
41,34,8480,3.9,1,0,0,0,0,0.104599056603774,"No"
48,22,7580,4.2,1,0,0,0,0,0.168997361477573,"No"
48,28,10050,8.2,0,0,0,0,0,0.04318407960199,"No"
42,32,7620,3.1,0,0,0,1,0,0.0720472440944882,"No"
48,35,13090,3.3,0,0,0,0,0,0.0376623376623377,"No"
28,20,4820,5.9,0,0,0,1,1,0.0962655601659751,"No"
47,30,9620,6.6,1,0,0,1,1,0.195218295218295,"No"
47,18,5470,4.2,1,0,0,1,0,0.0347349177330896,"No"
43,26,6360,7.2,0,1,0,0,0,0.105503144654088,"No"
29,17,4970,4.8,0,0,1,1,0,0.15513078470825,"No"
41,17,6170,5.5,0,0,0,0,1,0.0521880064829822,"No"
45,31,10570,6.2,0,0,0,1,1,0.023841059602649,"No"
50,24,13390,8.3,1,0,0,0,0,0.0694548170276326,"No"
33,20,5840,1.4,0,0,1,1,1,0.0407534246575342,"No"
24,13,4250,3.4,1,0,0,1,0,0.139294117647059,"No"
42,24,8680,6.2,0,0,1,0,0,0.0383640552995392,"No"
34,19,5500,5,0,0,1,1,0,0.110363636363636,"No"
32,16,5100,2.3,0,0,0,1,0,0.0958823529411765,"No"
43,27,9180,6.1,1,0,0,0,1,0.106318082788671,"No"
43,36,14170,3.9,1,0,0,1,1,0.12773465067043,"No"
30,15,5110,3.8,0,0,1,0,0,0.0448140900195695,"No"
31,16,5880,1,0,0,0,1,0,0.153231292517007,"No"
42,21,8130,6.8,1,0,0,1,0,0.0583025830258303,"No"
42,25,8500,4.2,1,0,0,1,1,0.150588235294118,"No"
35,14,5590,6.7,1,0,0,0,0,0.0364937388193202,"No"
33,12,5400,2.7,0,0,1,1,0,0.116296296296296,"No"
48,21,5550,5,0,0,1,0,0,0.0264864864864865,"No"
56,27,6630,6.7,1,0,0,1,1,0.185972850678733,"No"
44,14,5880,6,0,0,1,0,1,0.0909863945578231,"No"
36,16,7900,4.6,1,0,0,0,1,0.0275949367088608,"No"
32,13,4820,5.7,1,0,0,1,0,0.0323651452282158,"No"
31,17,4710,4.4,0,0,0,1,0,0.0709129511677282,"No"
39,16,5150,5.5,1,0,0,0,0,0.0869902912621359,"No"
59,29,10510,5.3,1,0,0,1,0,0.0729781160799239,"No"
32,19,6570,7.2,1,0,0,1,0,0.121004566210046,"No"
44,18,6130,3.7,0,0,1,1,0,0.120065252854812,"No"
35,20,7680,1.5,1,0,0,0,0,0.0348958333333333,"No"
28,17,5130,7.3,1,0,0,0,0,0.0526315789473684,"No"
33,21,5910,4.7,1,0,0,1,0,0.13248730964467,"No"
43,31,13560,4.1,0,0,0,1,0,0.0592920353982301,"No"
32,15,5670,6.9,1,0,0,1,1,0.062962962962963,"No"
39,17,6530,1.3,1,0,0,0,0,0.276569678407351,"No"
46,34,6930,8.2,0,0,1,1,0,0.0673881673881674,"No"
47,38,11570,2.8,1,0,0,1,1,0.0125324114088159,"No"
55,15,6310,7.8,1,0,0,0,0,0.0576862123613312,"No"
36,28,6730,3.5,1,0,0,1,1,0.062852897473997,"No"
34,24,8880,4.8,0,0,1,1,0,0.0841216216216216,"No"
37,14,5410,5.8,1,0,0,0,0,0.0987060998151571,"No"
28,12,4650,6.1,1,0,0,1,1,0.0853763440860215,"No"
31,23,6650,4.9,0,0,1,0,1,0.0869172932330827,"No"
40,19,8870,5.1,1,0,0,1,0,0.168094701240135,"No"
49,21,5930,4.9,0,0,1,1,1,0.194772344013491,"No"
46,20,6410,3.4,0,1,0,1,0,0.0305772230889236,"No"
27,17,5150,1.2,1,0,0,0,0,0.0407766990291262,"No"
33,25,6590,1.3,0,0,0,1,1,0.0520485584218513,"No"
43,18,5450,1.3,1,0,0,1,1,0.0346788990825688,"No"
40,29,8110,5.8,1,0,0,1,1,0.145992601726264,"No"
41,19,6160,8.6,1,0,0,1,0,0.0576298701298701,"No"
36,20,5360,4.9,0,0,1,1,0,0.066044776119403,"No"
35,22,6480,4.9,0,0,0,0,1,0.0942901234567901,"No"
34,25,6920,1.3,0,0,0,1,1,0.0715317919075144,"No"
40,27,11010,4.7,1,0,0,1,1,0.190099909173479,"No"
40,28,6830,4.1,0,0,0,1,0,0.0364568081991215,"No"
43,19,5250,6.3,1,0,0,1,0,0.0678095238095238,"No"
44,25,12640,4.9,0,0,1,1,0,0.061629746835443,"No"
42,21,7080,6.9,1,0,0,1,0,0.182203389830508,"No"
41,17,5240,6.6,0,1,0,0,1,0.0125954198473282,"No"
37,22,7670,5.3,0,0,0,0,1,0.091264667535854,"No"
53,20,8350,5.1,0,0,0,0,1,0.0841916167664671,"No"
45,20,10860,2.3,0,0,0,1,1,0.0134438305709024,"No"
35,13,4540,4.8,0,0,1,1,1,0.170925110132159,"No"
53,17,6480,5.4,1,0,0,0,1,0.164197530864198,"No"
42,34,7190,7.6,0,0,0,1,1,0.0675938803894298,"No"
42,19,5350,3.6,1,0,0,0,0,0.0697196261682243,"No"
41,27,8740,8.7,0,0,1,1,0,0.05,"No"
40,27,8200,1.7,0,0,1,0,1,0.105,"No"
45,30,7640,4.7,1,0,0,0,1,0.0371727748691099,"No"
32,12,5820,3.9,0,1,0,1,1,0.0436426116838488,"No"
27,12,5760,6.8,1,0,0,1,0,0.0828125,"No"
32,12,6680,4.1,0,0,0,1,0,0.0941616766467066,"No"
38,24,10170,2.5,0,0,0,0,0,0.0242871189773845,"No"
49,19,8230,1.9,1,0,0,1,0,0.0279465370595383,"No"
51,42,16090,2.8,1,0,0,1,0,0.0642635177128651,"No"
36,14,8060,6.5,1,0,0,1,1,0.0796526054590571,"No"
58,14,6240,3.1,0,0,1,1,1,0.0560897435897436,"No"
27,12,4930,6.8,1,0,0,1,0,0.0393509127789047,"No"
46,21,6520,6.6,0,0,1,1,0,0.0904907975460123,"No"
32,22,6800,3.6,0,1,0,1,1,0.101470588235294,"No"
39,14,6650,2.5,0,0,0,0,1,0.141353383458647,"No"
37,13,5310,5.2,0,0,0,0,1,0.0487758945386064,"No"
49,17,5390,5.8,1,0,0,1,0,0.232282003710575,"No"
35,14,7790,4.3,1,0,0,1,0,0.0490372272143774,"No"
37,14,6090,4.5,1,0,0,0,0,0.178653530377668,"No"
40,23,6160,5.2,1,0,0,0,0,0.0165584415584416,"No"
33,24,5520,6.1,1,0,0,1,0,0.0264492753623188,"No"
40,12,5670,8.2,1,0,0,1,1,0.0777777777777778,"No"
58,39,17390,2.3,1,0,0,1,0,0.0813686026451984,"No"
33,19,5250,4.9,0,0,1,0,1,0.150857142857143,"No"
45,13,5800,6.3,0,0,0,1,0,0.144655172413793,"No"
44,21,6590,6.2,0,0,0,1,1,0.11608497723824,"No"
31,15,5090,1.8,0,0,0,1,1,0.0445972495088409,"No"
36,24,8650,6.2,0,0,1,1,0,0.0336416184971098,"No"
49,30,11660,3.6,0,0,0,1,0,0.0704974271012007,"No"
46,19,7420,6.3,0,0,1,1,1,0.0119946091644205,"No"
40,26,6430,5.4,1,0,0,1,0,0.0371695178849145,"No"
30,15,5190,5,1,0,0,1,0,0.0878612716763006,"No"
31,23,6450,4.7,0,0,0,1,0,0.0618604651162791,"No"
32,14,4940,7.9,1,0,0,0,1,0.0489878542510121,"No"
33,12,4710,5.2,0,0,0,0,0,0.00509554140127389,"No"
48,20,7880,4.4,0,0,0,1,0,0.0642131979695432,"No"
54,26,8020,7.6,1,0,0,1,1,0.130299251870324,"No"
47,24,6600,6.6,0,0,1,1,0,0.18,"No"
45,38,9840,4.5,0,1,0,1,1,0.00660569105691057,"No"
32,22,5570,7.1,0,0,1,1,0,0.0983842010771993,"No"
37,21,5610,7.6,0,0,1,1,0,0.0447415329768271,"No"
57,50,23580,4.8,1,0,0,0,0,0.0883799830364716,"No"
41,28,7130,6.9,0,0,1,0,0,0.0131837307152875,"No"
35,18,6410,2.8,1,0,0,1,0,0.130265210608424,"No"
45,31,9980,4.7,1,0,0,1,0,0.146392785571142,"No"
35,15,5360,5.2,1,0,0,1,1,0.151492537313433,"No"
44,29,6030,6.2,1,0,0,1,0,0.0575456053067993,"No"
48,19,6970,4.1,0,0,1,1,1,0.123959827833572,"No"
38,18,6520,7.9,1,0,0,1,1,0.0688650306748466,"No"
46,13,4690,5.9,0,0,0,1,1,0.0458422174840085,"No"
35,20,5070,3.5,1,0,0,1,0,0.0136094674556213,"No"
32,13,4670,4.4,1,0,0,1,1,0.063169164882227,"No"
45,12,4890,7.9,0,0,0,0,0,0.0789366053169734,"No"
49,13,5420,4.2,0,0,1,1,0,0.124723247232472,"No"
53,18,5720,4.2,1,0,0,0,0,0.0699300699300699,"No"
54,30,10280,3.7,0,0,0,1,1,0.0465953307392996,"No"
29,17,5760,7,1,0,0,1,0,0.113715277777778,"No"
30,16,5060,5.8,0,0,1,0,1,0.201581027667984,"No"
32,22,5070,0.5,1,0,0,1,0,0.0609467455621302,"No"
58,25,8980,3.8,1,0,0,1,0,0.120044543429844,"No"
38,14,5190,7.8,0,0,0,1,0,0.0641618497109827,"No"
36,20,5540,6.4,0,0,0,1,1,0.0983754512635379,"No"
38,18,6070,2.6,0,0,1,0,1,0.0462932454695222,"No"
49,30,13610,8.1,1,0,0,1,1,0.197648787656135,"No"
29,13,5360,4.9,0,0,1,1,0,0.0395522388059701,"No"
29,18,5820,8.2,0,0,1,1,0,0.0271477663230241,"No"
49,36,15960,5.2,0,0,0,1,1,0.0202380952380952,"No"
59,21,5930,7.9,1,0,0,1,0,0.100168634064081,"No"
47,21,6470,3.6,0,0,0,0,0,0.121483771251932,"No"
34,19,6660,8.2,0,0,0,1,1,0.160960960960961,"No"
